,Phase,Model,Estimated ATE,n_covariates
0,Test,BICauseTree(Marginal),0.005994968836872977,2
1,Train,BICauseTree(Marginal),0.019833747525260487,2
2,Test,BICauseTree(Marginal),0.012564378864356934,2
3,Train,BICauseTree(Marginal),0.011378757656829414,2
4,Test,BICauseTree(Marginal),0.00507891110840708,2
5,Train,BICauseTree(Marginal),0.019530184945085932,2
6,Test,BICauseTree(Marginal),0.01385533735073674,2
7,Train,BICauseTree(Marginal),0.009143061842202344,2
8,Test,BICauseTree(Marginal),0.01234808747326585,2
9,Train,BICauseTree(Marginal),0.012489143297719385,2
10,Test,BICauseTree(Marginal),0.010675200433975074,2
11,Train,BICauseTree(Marginal),0.014338024807979327,2
12,Test,BICauseTree(Marginal),0.00031371335286281554,2
13,Train,BICauseTree(Marginal),0.023632840852822162,2
14,Test,BICauseTree(Marginal),0.026680085417004035,2
15,Train,BICauseTree(Marginal),0.0007373991602082353,2
16,Test,BICauseTree(Marginal),0.014205423872249656,2
17,Train,BICauseTree(Marginal),0.011242495681224679,2
18,Test,BICauseTree(Marginal),0.009004948504209326,2
19,Train,BICauseTree(Marginal),0.017789952889164545,2
20,Test,BICauseTree(Marginal),0.010385441893710406,2
21,Train,BICauseTree(Marginal),0.014413046137600888,2
22,Test,BICauseTree(Marginal),0.020429968390217934,2
23,Train,BICauseTree(Marginal),0.0059792790002473895,2
24,Test,BICauseTree(Marginal),0.01553543494699261,2
25,Train,BICauseTree(Marginal),0.007525073814786287,2
26,Test,BICauseTree(Marginal),0.01447170863531641,2
27,Train,BICauseTree(Marginal),0.01399459573113232,2
28,Test,BICauseTree(Marginal),0.0095788863078414,2
29,Train,BICauseTree(Marginal),0.016728532404290647,2
30,Test,BICauseTree(Marginal),0.009757069377489463,2
31,Train,BICauseTree(Marginal),0.013587844955728873,2
32,Test,BICauseTree(Marginal),0.007986824810008203,2
33,Train,BICauseTree(Marginal),0.014670128593937931,2
34,Test,BICauseTree(Marginal),0.0013889268637590768,2
35,Train,BICauseTree(Marginal),0.012183863745937717,2
36,Test,BICauseTree(Marginal),0.003535040593018235,2
37,Train,BICauseTree(Marginal),0.024223236707030055,2
38,Test,BICauseTree(Marginal),0.013325217446895438,2
39,Train,BICauseTree(Marginal),0.012855194732090819,2
40,Test,BICauseTree(Marginal),0.01138218681001471,2
41,Train,BICauseTree(Marginal),0.015474974437972439,2
42,Test,BICauseTree(Marginal),0.010910157102131085,2
43,Train,BICauseTree(Marginal),0.013434052432420462,2
44,Test,BICauseTree(Marginal),0.008385535763755447,2
45,Train,BICauseTree(Marginal),0.015373984189406081,2
46,Test,BICauseTree(Marginal),0.015887387341531917,2
47,Train,BICauseTree(Marginal),0.009589911735998685,2
48,Test,BICauseTree(Marginal),0.009780070915296618,2
49,Train,BICauseTree(Marginal),0.018573958702365195,2
50,Test,BICauseTree(Marginal),0.019520492761184033,2
51,Train,BICauseTree(Marginal),0.005445568567299608,2
52,Test,BICauseTree(Marginal),0.015450451630713846,2
53,Train,BICauseTree(Marginal),0.013741098066431645,2
54,Test,BICauseTree(Marginal),0.023622568477532302,2
55,Train,BICauseTree(Marginal),0.0007520890944649194,2
56,Test,BICauseTree(Marginal),0.007288211717091597,2
57,Train,BICauseTree(Marginal),0.01613737126242501,2
58,Test,BICauseTree(Marginal),0.013845352882174256,2
59,Train,BICauseTree(Marginal),0.010075434066428468,2
60,Test,BICauseTree(Marginal),0.0035210827858286053,2
61,Train,BICauseTree(Marginal),0.021264829327552914,2
62,Test,BICauseTree(Marginal),0.017275486374437793,2
63,Train,BICauseTree(Marginal),0.01088169393181726,2
64,Test,BICauseTree(Marginal),0.01355743552214489,2
65,Train,BICauseTree(Marginal),0.009477480635957353,2
66,Test,BICauseTree(Marginal),0.00019349187729195139,2
67,Train,BICauseTree(Marginal),0.02337309290482556,2
68,Test,BICauseTree(Marginal),0.020607136771738033,2
69,Train,BICauseTree(Marginal),0.00712339772782386,2
70,Test,BICauseTree(Marginal),0.010893742808306878,2
71,Train,BICauseTree(Marginal),0.012055715122441746,2
72,Test,BICauseTree(Marginal),0.017529245818389966,2
73,Train,BICauseTree(Marginal),0.009084277018268777,2
74,Test,BICauseTree(Marginal),0.008313791224617173,2
75,Train,BICauseTree(Marginal),0.018708260267799426,2
76,Test,BICauseTree(Marginal),0.009193997358208666,2
77,Train,BICauseTree(Marginal),0.019339269898166866,2
78,Test,BICauseTree(Marginal),0.009060732619150247,2
79,Train,BICauseTree(Marginal),0.019972761035836506,2
80,Test,BICauseTree(Marginal),0.002207908429738392,2
81,Train,BICauseTree(Marginal),0.026680554430104725,2
82,Test,BICauseTree(Marginal),0.023290380317675635,2
83,Train,BICauseTree(Marginal),0.00484314158389354,2
84,Test,BICauseTree(Marginal),0.018533441303889647,2
85,Train,BICauseTree(Marginal),0.003522361100359528,2
86,Test,BICauseTree(Marginal),0.02196096894143343,2
87,Train,BICauseTree(Marginal),0.003620617378466806,2
88,Test,BICauseTree(Marginal),0.013065620694827695,2
89,Train,BICauseTree(Marginal),0.015180847357956356,2
90,Test,BICauseTree(Marginal),0.008389668518911486,2
91,Train,BICauseTree(Marginal),0.014746293764864166,2
92,Test,BICauseTree(Marginal),0.007641962668265445,2
93,Train,BICauseTree(Marginal),0.016272576675550182,2
94,Test,BICauseTree(Marginal),0.021234066355051623,2
95,Train,BICauseTree(Marginal),0.0072374542548837295,2
96,Test,BICauseTree(Marginal),0.010542457165111152,2
97,Train,BICauseTree(Marginal),0.014448481704414595,2
98,Test,BICauseTree(Marginal),0.010033714163260904,2
99,Train,BICauseTree(Marginal),0.013946198123659104,2
100,Test,BICauseTree(Marginal),0.005994968836872977,10
101,Train,BICauseTree(Marginal),0.019833747525260487,10
102,Test,BICauseTree(Marginal),0.012499073160951224,10
103,Train,BICauseTree(Marginal),0.010837237468540928,10
104,Test,BICauseTree(Marginal),0.00507891110840708,10
105,Train,BICauseTree(Marginal),0.019530184945085932,10
106,Test,BICauseTree(Marginal),0.01385533735073674,10
107,Train,BICauseTree(Marginal),0.009143061842202344,10
108,Test,BICauseTree(Marginal),0.01638664101085721,10
109,Train,BICauseTree(Marginal),0.010845112002838608,10
110,Test,BICauseTree(Marginal),0.010675200433975074,10
111,Train,BICauseTree(Marginal),0.014338024807979327,10
112,Test,BICauseTree(Marginal),0.00031371335286281554,10
113,Train,BICauseTree(Marginal),0.023632840852822162,10
114,Test,BICauseTree(Marginal),0.026680085417004035,10
115,Train,BICauseTree(Marginal),0.0007373991602082353,10
116,Test,BICauseTree(Marginal),0.014205423872249656,10
117,Train,BICauseTree(Marginal),0.011242495681224679,10
118,Test,BICauseTree(Marginal),0.010645169226476653,10
119,Train,BICauseTree(Marginal),0.01575556832751962,10
120,Test,BICauseTree(Marginal),0.010385441893710406,10
121,Train,BICauseTree(Marginal),0.014413046137600888,10
122,Test,BICauseTree(Marginal),0.020429968390217934,10
123,Train,BICauseTree(Marginal),0.0059792790002473895,10
124,Test,BICauseTree(Marginal),0.01553543494699261,10
125,Train,BICauseTree(Marginal),0.007525073814786287,10
126,Test,BICauseTree(Marginal),0.011561813110042812,10
127,Train,BICauseTree(Marginal),0.015063391065188586,10
128,Test,BICauseTree(Marginal),0.0095788863078414,10
129,Train,BICauseTree(Marginal),0.016728532404290647,10
130,Test,BICauseTree(Marginal),0.009757069377489463,10
131,Train,BICauseTree(Marginal),0.013587844955728873,10
132,Test,BICauseTree(Marginal),0.007986824810008203,10
133,Train,BICauseTree(Marginal),0.014670128593937931,10
134,Test,BICauseTree(Marginal),0.0013889268637590768,10
135,Train,BICauseTree(Marginal),0.012183863745937717,10
136,Test,BICauseTree(Marginal),0.003535040593018235,10
137,Train,BICauseTree(Marginal),0.024223236707030055,10
138,Test,BICauseTree(Marginal),0.013325217446895438,10
139,Train,BICauseTree(Marginal),0.012855194732090819,10
140,Test,BICauseTree(Marginal),0.01138218681001471,10
141,Train,BICauseTree(Marginal),0.015474974437972439,10
142,Test,BICauseTree(Marginal),0.010910157102131085,10
143,Train,BICauseTree(Marginal),0.013434052432420462,10
144,Test,BICauseTree(Marginal),0.008385535763755447,10
145,Train,BICauseTree(Marginal),0.015373984189406081,10
146,Test,BICauseTree(Marginal),0.015887387341531917,10
147,Train,BICauseTree(Marginal),0.009589911735998685,10
148,Test,BICauseTree(Marginal),0.009780070915296618,10
149,Train,BICauseTree(Marginal),0.018573958702365195,10
150,Test,BICauseTree(Marginal),0.019520492761184033,10
151,Train,BICauseTree(Marginal),0.005445568567299608,10
152,Test,BICauseTree(Marginal),0.015450451630713846,10
153,Train,BICauseTree(Marginal),0.013741098066431645,10
154,Test,BICauseTree(Marginal),0.023622568477532302,10
155,Train,BICauseTree(Marginal),0.0007520890944649194,10
156,Test,BICauseTree(Marginal),0.007288211717091597,10
157,Train,BICauseTree(Marginal),0.01613737126242501,10
158,Test,BICauseTree(Marginal),0.013845352882174256,10
159,Train,BICauseTree(Marginal),0.010075434066428468,10
160,Test,BICauseTree(Marginal),0.0035210827858286053,10
161,Train,BICauseTree(Marginal),0.021264829327552914,10
162,Test,BICauseTree(Marginal),0.017275486374437793,10
163,Train,BICauseTree(Marginal),0.01088169393181726,10
164,Test,BICauseTree(Marginal),0.01355743552214489,10
165,Train,BICauseTree(Marginal),0.009477480635957353,10
166,Test,BICauseTree(Marginal),0.00019349187729195139,10
167,Train,BICauseTree(Marginal),0.02337309290482556,10
168,Test,BICauseTree(Marginal),0.020607136771738033,10
169,Train,BICauseTree(Marginal),0.00712339772782386,10
170,Test,BICauseTree(Marginal),0.010893742808306878,10
171,Train,BICauseTree(Marginal),0.012055715122441746,10
172,Test,BICauseTree(Marginal),0.017529245818389966,10
173,Train,BICauseTree(Marginal),0.009084277018268777,10
174,Test,BICauseTree(Marginal),0.008313791224617173,10
175,Train,BICauseTree(Marginal),0.018708260267799426,10
176,Test,BICauseTree(Marginal),0.009193997358208666,10
177,Train,BICauseTree(Marginal),0.019339269898166866,10
178,Test,BICauseTree(Marginal),0.009808086841037233,10
179,Train,BICauseTree(Marginal),0.019941247330320294,10
180,Test,BICauseTree(Marginal),0.002207908429738392,10
181,Train,BICauseTree(Marginal),0.026680554430104725,10
182,Test,BICauseTree(Marginal),0.023290380317675635,10
183,Train,BICauseTree(Marginal),0.00484314158389354,10
184,Test,BICauseTree(Marginal),0.016834027810241098,10
185,Train,BICauseTree(Marginal),0.0046791217504299765,10
186,Test,BICauseTree(Marginal),0.02196096894143343,10
187,Train,BICauseTree(Marginal),0.003620617378466806,10
188,Test,BICauseTree(Marginal),0.013065620694827695,10
189,Train,BICauseTree(Marginal),0.015180847357956356,10
190,Test,BICauseTree(Marginal),0.008389668518911486,10
191,Train,BICauseTree(Marginal),0.014746293764864166,10
192,Test,BICauseTree(Marginal),0.007641962668265445,10
193,Train,BICauseTree(Marginal),0.016272576675550182,10
194,Test,BICauseTree(Marginal),0.017221532997119926,10
195,Train,BICauseTree(Marginal),0.007966561952642975,10
196,Test,BICauseTree(Marginal),0.010542457165111152,10
197,Train,BICauseTree(Marginal),0.014448481704414595,10
198,Test,BICauseTree(Marginal),0.010033714163260904,10
199,Train,BICauseTree(Marginal),0.013946198123659104,10
200,Test,BICauseTree(Marginal),0.00949948325590455,25
201,Train,BICauseTree(Marginal),0.018248776502029385,25
202,Test,BICauseTree(Marginal),0.019847213333173602,25
203,Train,BICauseTree(Marginal),0.008189621779853606,25
204,Test,BICauseTree(Marginal),0.00507891110840708,25
205,Train,BICauseTree(Marginal),0.019530184945085932,25
206,Test,BICauseTree(Marginal),0.009006157940023185,25
207,Train,BICauseTree(Marginal),0.00917286635278608,25
208,Test,BICauseTree(Marginal),0.013316667805401972,25
209,Train,BICauseTree(Marginal),0.00868421231334271,25
210,Test,BICauseTree(Marginal),0.011739480929693319,25
211,Train,BICauseTree(Marginal),0.015054536034788235,25
212,Test,BICauseTree(Marginal),0.00031371335286281554,25
213,Train,BICauseTree(Marginal),0.023632840852822162,25
214,Test,BICauseTree(Marginal),0.026680085417004035,25
215,Train,BICauseTree(Marginal),0.0007373991602082353,25
216,Test,BICauseTree(Marginal),0.017267822392027676,25
217,Train,BICauseTree(Marginal),0.013948305466168681,25
218,Test,BICauseTree(Marginal),0.009004948504209326,25
219,Train,BICauseTree(Marginal),0.017789952889164545,25
220,Test,BICauseTree(Marginal),0.011174481093327637,25
221,Train,BICauseTree(Marginal),0.01273092946875845,25
222,Test,BICauseTree(Marginal),0.017490615554163008,25
223,Train,BICauseTree(Marginal),0.002715664794790129,25
224,Test,BICauseTree(Marginal),0.01553543494699261,25
225,Train,BICauseTree(Marginal),0.007525073814786287,25
226,Test,BICauseTree(Marginal),0.0162590321864442,25
227,Train,BICauseTree(Marginal),0.01620182369307585,25
228,Test,BICauseTree(Marginal),0.0095788863078414,25
229,Train,BICauseTree(Marginal),0.016728532404290647,25
230,Test,BICauseTree(Marginal),0.009583573391222594,25
231,Train,BICauseTree(Marginal),0.013911847466175548,25
232,Test,BICauseTree(Marginal),0.012450821584699262,25
233,Train,BICauseTree(Marginal),0.015507127596942644,25
234,Test,BICauseTree(Marginal),0.0006090911154098821,25
235,Train,BICauseTree(Marginal),0.01728689709887507,25
236,Test,BICauseTree(Marginal),0.003535040593018235,25
237,Train,BICauseTree(Marginal),0.024223236707030055,25
238,Test,BICauseTree(Marginal),0.01446847444700558,25
239,Train,BICauseTree(Marginal),0.0118949080873815,25
240,Test,BICauseTree(Marginal),0.01138218681001471,25
241,Train,BICauseTree(Marginal),0.015474974437972439,25
242,Test,BICauseTree(Marginal),0.010910157102131085,25
243,Train,BICauseTree(Marginal),0.013434052432420462,25
244,Test,BICauseTree(Marginal),0.008958408872159762,25
245,Train,BICauseTree(Marginal),0.014682831140167218,25
246,Test,BICauseTree(Marginal),0.016249168875609704,25
247,Train,BICauseTree(Marginal),0.011708063459285906,25
248,Test,BICauseTree(Marginal),0.009780070915296618,25
249,Train,BICauseTree(Marginal),0.018573958702365195,25
250,Test,BICauseTree(Marginal),0.019520492761184033,25
251,Train,BICauseTree(Marginal),0.005445568567299608,25
252,Test,BICauseTree(Marginal),0.021862443745720023,25
253,Train,BICauseTree(Marginal),0.00809526138663283,25
254,Test,BICauseTree(Marginal),0.015430886314002579,25
255,Train,BICauseTree(Marginal),0.0024230503362687728,25
256,Test,BICauseTree(Marginal),0.007288211717091597,25
257,Train,BICauseTree(Marginal),0.01613737126242501,25
258,Test,BICauseTree(Marginal),0.013845352882174256,25
259,Train,BICauseTree(Marginal),0.010075434066428468,25
260,Test,BICauseTree(Marginal),0.003909364962906364,25
261,Train,BICauseTree(Marginal),0.01944165600787781,25
262,Test,BICauseTree(Marginal),0.016452219983627697,25
263,Train,BICauseTree(Marginal),0.010014598756570459,25
264,Test,BICauseTree(Marginal),0.014341861512962545,25
265,Train,BICauseTree(Marginal),0.012057352599294358,25
266,Test,BICauseTree(Marginal),0.00019349187729195139,25
267,Train,BICauseTree(Marginal),0.02337309290482556,25
268,Test,BICauseTree(Marginal),0.020607136771738033,25
269,Train,BICauseTree(Marginal),0.00712339772782386,25
270,Test,BICauseTree(Marginal),0.010893742808306878,25
271,Train,BICauseTree(Marginal),0.012055715122441746,25
272,Test,BICauseTree(Marginal),0.017529245818389966,25
273,Train,BICauseTree(Marginal),0.009084277018268777,25
274,Test,BICauseTree(Marginal),0.015017328758778314,25
275,Train,BICauseTree(Marginal),0.015046651338607914,25
276,Test,BICauseTree(Marginal),0.009450874466849696,25
277,Train,BICauseTree(Marginal),0.022020171080728512,25
278,Test,BICauseTree(Marginal),0.009100352504524789,25
279,Train,BICauseTree(Marginal),0.018829139319084143,25
280,Test,BICauseTree(Marginal),0.004992081545007215,25
281,Train,BICauseTree(Marginal),0.0254088094981981,25
282,Test,BICauseTree(Marginal),0.023290380317675635,25
283,Train,BICauseTree(Marginal),0.00484314158389354,25
284,Test,BICauseTree(Marginal),0.018533441303889647,25
285,Train,BICauseTree(Marginal),0.003522361100359528,25
286,Test,BICauseTree(Marginal),0.01877192953446405,25
287,Train,BICauseTree(Marginal),0.004287350664467671,25
288,Test,BICauseTree(Marginal),0.013065620694827695,25
289,Train,BICauseTree(Marginal),0.015180847357956356,25
290,Test,BICauseTree(Marginal),0.010042988106952477,25
291,Train,BICauseTree(Marginal),0.011468972264395777,25
292,Test,BICauseTree(Marginal),0.007641962668265445,25
293,Train,BICauseTree(Marginal),0.016272576675550182,25
294,Test,BICauseTree(Marginal),0.012796648448785891,25
295,Train,BICauseTree(Marginal),0.0025931442445136232,25
296,Test,BICauseTree(Marginal),0.010542457165111152,25
297,Train,BICauseTree(Marginal),0.014448481704414595,25
298,Test,BICauseTree(Marginal),0.010033714163260904,25
299,Train,BICauseTree(Marginal),0.013946198123659104,25
300,Test,BICauseTree(Marginal),0.009556100761274361,50
301,Train,BICauseTree(Marginal),0.017486679790787413,50
302,Test,BICauseTree(Marginal),0.012564378864356934,50
303,Train,BICauseTree(Marginal),0.011378757656829414,50
304,Test,BICauseTree(Marginal),0.002133637147500117,50
305,Train,BICauseTree(Marginal),0.01750892641725793,50
306,Test,BICauseTree(Marginal),0.0154562659863558,50
307,Train,BICauseTree(Marginal),0.010093228961585737,50
308,Test,BICauseTree(Marginal),0.01234808747326585,50
309,Train,BICauseTree(Marginal),0.012489143297719385,50
310,Test,BICauseTree(Marginal),0.01787905421762956,50
311,Train,BICauseTree(Marginal),0.013742558718375736,50
312,Test,BICauseTree(Marginal),0.00014589155599273318,50
313,Train,BICauseTree(Marginal),0.02150217844165553,50
314,Test,BICauseTree(Marginal),0.02372918818215919,50
315,Train,BICauseTree(Marginal),0.0037967602512658516,50
316,Test,BICauseTree(Marginal),0.003545658553576636,50
317,Train,BICauseTree(Marginal),0.011837668847802796,50
318,Test,BICauseTree(Marginal),0.009013463760886686,50
319,Train,BICauseTree(Marginal),0.011074583942933036,50
320,Test,BICauseTree(Marginal),0.009580720642491714,50
321,Train,BICauseTree(Marginal),0.008564306735036081,50
322,Test,BICauseTree(Marginal),0.022754574582716236,50
323,Train,BICauseTree(Marginal),0.006058071521286845,50
324,Test,BICauseTree(Marginal),0.011626491975404357,50
325,Train,BICauseTree(Marginal),0.0076039134317235635,50
326,Test,BICauseTree(Marginal),0.009626713941003895,50
327,Train,BICauseTree(Marginal),0.013795190571800009,50
328,Test,BICauseTree(Marginal),0.0006236923596956434,50
329,Train,BICauseTree(Marginal),0.010273164070906254,50
330,Test,BICauseTree(Marginal),0.006163307276070895,50
331,Train,BICauseTree(Marginal),0.018931830385727738,50
332,Test,BICauseTree(Marginal),0.0015568964496009419,50
333,Train,BICauseTree(Marginal),0.02011794563828917,50
334,Test,BICauseTree(Marginal),0.004698028502408552,50
335,Train,BICauseTree(Marginal),0.014043658563135247,50
336,Test,BICauseTree(Marginal),0.0031939685207236224,50
337,Train,BICauseTree(Marginal),0.021210642130130464,50
338,Test,BICauseTree(Marginal),0.006088292369911985,50
339,Train,BICauseTree(Marginal),0.012325662385724134,50
340,Test,BICauseTree(Marginal),0.013083866390850823,50
341,Train,BICauseTree(Marginal),0.017328219367720554,50
342,Test,BICauseTree(Marginal),0.014027295665225092,50
343,Train,BICauseTree(Marginal),0.01737875709293002,50
344,Test,BICauseTree(Marginal),0.00793982125248982,50
345,Train,BICauseTree(Marginal),0.015141797763027598,50
346,Test,BICauseTree(Marginal),0.013081927039444552,50
347,Train,BICauseTree(Marginal),0.009714464755710805,50
348,Test,BICauseTree(Marginal),0.006838490342871123,50
349,Train,BICauseTree(Marginal),0.020886305185337933,50
350,Test,BICauseTree(Marginal),0.0167692124260084,50
351,Train,BICauseTree(Marginal),0.005983334441055643,50
352,Test,BICauseTree(Marginal),0.016576581859088835,50
