,Phase,Model,Estimated ATE
0,Test,BICauseTree(Marginal),0.02230886211584676
0,Test,BICauseTreeRandomSplit(Marginal),0.03565596409608207
0,Train,BICauseTree(Marginal),0.04658329569547742
0,Train,BICauseTreeRandomSplit(Marginal),0.06537385368626736
1,Test,BICauseTree(Marginal),0.03973467109860079
1,Test,BICauseTreeRandomSplit(Marginal),0.04684646971065967
1,Train,BICauseTree(Marginal),0.04042344685242957
1,Train,BICauseTreeRandomSplit(Marginal),0.055332104132472415
2,Test,BICauseTree(Marginal),0.051471809184285955
2,Test,BICauseTreeRandomSplit(Marginal),0.06685806761437169
2,Train,BICauseTree(Marginal),0.019470183151459652
2,Train,BICauseTreeRandomSplit(Marginal),0.035331572486967666
3,Test,BICauseTree(Marginal),0.03521248911350508
3,Test,BICauseTreeRandomSplit(Marginal),0.050854784719087054
3,Train,BICauseTree(Marginal),0.03610879201842648
3,Train,BICauseTreeRandomSplit(Marginal),0.04900004690195514
4,Test,BICauseTree(Marginal),0.04067235462584007
4,Test,BICauseTreeRandomSplit(Marginal),0.05869967473641757
4,Train,BICauseTree(Marginal),0.027315166541505453
4,Train,BICauseTreeRandomSplit(Marginal),0.04348713320128855
5,Test,BICauseTree(Marginal),0.03528065933813279
5,Test,BICauseTreeRandomSplit(Marginal),0.04690354049401743
5,Train,BICauseTree(Marginal),0.030858267530469996
5,Train,BICauseTreeRandomSplit(Marginal),0.052501362571259674
6,Test,BICauseTree(Marginal),0.03788475370485356
6,Test,BICauseTreeRandomSplit(Marginal),0.04712023413822908
6,Train,BICauseTree(Marginal),0.03743994196049996
6,Train,BICauseTreeRandomSplit(Marginal),0.05505847813917822
7,Test,BICauseTree(Marginal),0.039009135815962354
7,Test,BICauseTreeRandomSplit(Marginal),0.05061296887270372
7,Train,BICauseTree(Marginal),0.03981531927523582
7,Train,BICauseTreeRandomSplit(Marginal),0.051568316266069586
8,Test,BICauseTree(Marginal),0.042073310792538426
8,Test,BICauseTreeRandomSplit(Marginal),0.0542995392451921
8,Train,BICauseTree(Marginal),0.03676864484450984
8,Train,BICauseTreeRandomSplit(Marginal),0.04788118596836291
9,Test,BICauseTree(Marginal),0.04604085683029946
9,Test,BICauseTreeRandomSplit(Marginal),0.05191333223003464
9,Train,BICauseTree(Marginal),0.03959286544110843
9,Train,BICauseTreeRandomSplit(Marginal),0.0487731964845218
10,Test,BICauseTree(Marginal),0.02601814878532399
10,Test,BICauseTreeRandomSplit(Marginal),0.03996493909878998
10,Train,BICauseTree(Marginal),0.043537224247121115
10,Train,BICauseTreeRandomSplit(Marginal),0.06231164412303605
11,Test,BICauseTree(Marginal),0.03406634861372401
11,Test,BICauseTreeRandomSplit(Marginal),0.04341761236668551
11,Train,BICauseTree(Marginal),0.036208537021441584
11,Train,BICauseTreeRandomSplit(Marginal),0.05145735092679868
12,Test,BICauseTree(Marginal),0.02932161869164515
12,Test,BICauseTreeRandomSplit(Marginal),0.04802928335704973
12,Train,BICauseTree(Marginal),0.03854619971502721
12,Train,BICauseTreeRandomSplit(Marginal),0.052755398296775696
13,Test,BICauseTree(Marginal),0.03803023741113126
13,Test,BICauseTreeRandomSplit(Marginal),0.050855979090390524
13,Train,BICauseTree(Marginal),0.03726250680738247
13,Train,BICauseTreeRandomSplit(Marginal),0.051320322514326416
14,Test,BICauseTree(Marginal),0.03680328698316088
14,Test,BICauseTreeRandomSplit(Marginal),0.04840564285905491
14,Train,BICauseTree(Marginal),0.04152997161355951
14,Train,BICauseTreeRandomSplit(Marginal),0.05377496148650798
15,Test,BICauseTree(Marginal),0.03959893385817531
15,Test,BICauseTreeRandomSplit(Marginal),0.0469836418343923
15,Train,BICauseTree(Marginal),0.03471089087544821
15,Train,BICauseTreeRandomSplit(Marginal),0.05139327588372017
16,Test,BICauseTree(Marginal),0.030974845072436724
16,Test,BICauseTreeRandomSplit(Marginal),0.04612444455227882
16,Train,BICauseTree(Marginal),0.036511246068210684
16,Train,BICauseTreeRandomSplit(Marginal),0.05373241428542275
17,Test,BICauseTree(Marginal),0.03577164794582316
17,Test,BICauseTreeRandomSplit(Marginal),0.056105342137665354
17,Train,BICauseTree(Marginal),0.03146443430410001
17,Train,BICauseTreeRandomSplit(Marginal),0.04607230039313054
18,Test,BICauseTree(Marginal),0.04062816510682726
18,Test,BICauseTreeRandomSplit(Marginal),0.05264799708799223
18,Train,BICauseTree(Marginal),0.03539605289372119
18,Train,BICauseTreeRandomSplit(Marginal),0.05068513395391705
19,Test,BICauseTree(Marginal),0.03508412750287587
19,Test,BICauseTreeRandomSplit(Marginal),0.049099577439156133
19,Train,BICauseTree(Marginal),0.03792815359417903
19,Train,BICauseTreeRandomSplit(Marginal),0.05308213797370162
20,Test,BICauseTree(Marginal),0.033988624081501106
20,Test,BICauseTreeRandomSplit(Marginal),0.04791497380719292
20,Train,BICauseTree(Marginal),0.03079411879457178
20,Train,BICauseTreeRandomSplit(Marginal),0.0488984210875095
21,Test,BICauseTree(Marginal),0.027079289025012943
21,Test,BICauseTreeRandomSplit(Marginal),0.04234894333933034
21,Train,BICauseTree(Marginal),0.039341754443996846
21,Train,BICauseTreeRandomSplit(Marginal),0.05937647254612269
22,Test,BICauseTree(Marginal),0.03701912187156267
22,Test,BICauseTreeRandomSplit(Marginal),0.042680474732501195
22,Train,BICauseTree(Marginal),0.042173233609555105
22,Train,BICauseTreeRandomSplit(Marginal),0.054620310959252905
23,Test,BICauseTree(Marginal),0.03024860803290705
23,Test,BICauseTreeRandomSplit(Marginal),0.04320208074188178
23,Train,BICauseTree(Marginal),0.03933797457197216
23,Train,BICauseTreeRandomSplit(Marginal),0.05897754218751991
24,Test,BICauseTree(Marginal),0.027699105632236626
24,Test,BICauseTreeRandomSplit(Marginal),0.045089860613113236
24,Train,BICauseTree(Marginal),0.042142907986506245
24,Train,BICauseTreeRandomSplit(Marginal),0.057087843898707885
25,Test,BICauseTree(Marginal),0.03447517548579182
25,Test,BICauseTreeRandomSplit(Marginal),0.048276558705080436
25,Train,BICauseTree(Marginal),0.03600642577089219
25,Train,BICauseTreeRandomSplit(Marginal),0.05390052390049713
26,Test,BICauseTree(Marginal),0.05107662285023887
26,Test,BICauseTreeRandomSplit(Marginal),0.05280535239730427
26,Train,BICauseTree(Marginal),0.02882700078584205
26,Train,BICauseTreeRandomSplit(Marginal),0.03216326853507756
27,Test,BICauseTree(Marginal),0.043980152126001204
27,Test,BICauseTreeRandomSplit(Marginal),0.05587375911380671
27,Train,BICauseTree(Marginal),0.03387703944357803
27,Train,BICauseTreeRandomSplit(Marginal),0.04630423414376536
28,Test,BICauseTree(Marginal),0.03195724977533254
28,Test,BICauseTreeRandomSplit(Marginal),0.05183367086431773
28,Train,BICauseTree(Marginal),0.0357380304430891
28,Train,BICauseTreeRandomSplit(Marginal),0.04837781224590254
29,Test,BICauseTree(Marginal),0.030088388951928974
29,Test,BICauseTreeRandomSplit(Marginal),0.0439020314284822
29,Train,BICauseTree(Marginal),0.03615783822131993
29,Train,BICauseTreeRandomSplit(Marginal),0.05796328302630771
30,Test,BICauseTree(Marginal),0.026076491150380438
30,Test,BICauseTreeRandomSplit(Marginal),0.04025535201352512
30,Train,BICauseTree(Marginal),0.040114982785411424
30,Train,BICauseTreeRandomSplit(Marginal),0.0603507294871273
31,Test,BICauseTree(Marginal),0.023227712842547488
31,Test,BICauseTreeRandomSplit(Marginal),0.042673863412715424
31,Train,BICauseTree(Marginal),0.03975341225262999
31,Train,BICauseTreeRandomSplit(Marginal),0.055885976678547944
32,Test,BICauseTree(Marginal),0.03620529604756689
32,Test,BICauseTreeRandomSplit(Marginal),0.04747738003621205
32,Train,BICauseTree(Marginal),0.03227633166112537
32,Train,BICauseTreeRandomSplit(Marginal),0.05168000644095477
33,Test,BICauseTree(Marginal),0.04032498478210997
33,Test,BICauseTreeRandomSplit(Marginal),0.054143109463901135
33,Train,BICauseTree(Marginal),0.024728032506836944
33,Train,BICauseTreeRandomSplit(Marginal),0.04564693472852788
34,Test,BICauseTree(Marginal),0.03715793112655494
34,Test,BICauseTreeRandomSplit(Marginal),0.05142576793396955
34,Train,BICauseTree(Marginal),0.03608213943859884
34,Train,BICauseTreeRandomSplit(Marginal),0.04476404328415129
35,Test,BICauseTree(Marginal),0.04158284336528428
35,Test,BICauseTreeRandomSplit(Marginal),0.058030065465255354
35,Train,BICauseTree(Marginal),0.030736245686883656
35,Train,BICauseTreeRandomSplit(Marginal),0.04358559685064384
36,Test,BICauseTree(Marginal),0.027809293755278686
36,Test,BICauseTreeRandomSplit(Marginal),0.04359111630093426
36,Train,BICauseTree(Marginal),0.04170731445211734
36,Train,BICauseTreeRandomSplit(Marginal),0.05859698555308385
37,Test,BICauseTree(Marginal),0.04048105662716364
37,Test,BICauseTreeRandomSplit(Marginal),0.051413245471969626
37,Train,BICauseTree(Marginal),0.026732144566763733
37,Train,BICauseTreeRandomSplit(Marginal),0.05078454401970042
38,Test,BICauseTree(Marginal),0.054797674334501806
38,Test,BICauseTreeRandomSplit(Marginal),0.06476377631194527
38,Train,BICauseTree(Marginal),0.02673634959809934
38,Train,BICauseTreeRandomSplit(Marginal),0.037427246036156575
39,Test,BICauseTree(Marginal),0.04584679016328519
39,Test,BICauseTreeRandomSplit(Marginal),0.056753728555446414
39,Train,BICauseTree(Marginal),0.036439712322392626
39,Train,BICauseTreeRandomSplit(Marginal),0.0474810830536376
40,Test,BICauseTree(Marginal),0.037115037402838
40,Test,BICauseTreeRandomSplit(Marginal),0.05389094871240613
40,Train,BICauseTree(Marginal),0.03335012090418013
40,Train,BICauseTreeRandomSplit(Marginal),0.04888004888437367
41,Test,BICauseTree(Marginal),0.045793675746781864
41,Test,BICauseTreeRandomSplit(Marginal),0.0595805599102191
41,Train,BICauseTree(Marginal),0.026913820196816235
41,Train,BICauseTreeRandomSplit(Marginal),0.0398662599175445
42,Test,BICauseTree(Marginal),0.028151553728902906
42,Test,BICauseTreeRandomSplit(Marginal),0.03706783964434354
42,Train,BICauseTree(Marginal),0.03806990794898449
42,Train,BICauseTreeRandomSplit(Marginal),0.05774171997302713
43,Test,BICauseTree(Marginal),0.03010360204431628
43,Test,BICauseTreeRandomSplit(Marginal),0.0491874156539224
43,Train,BICauseTree(Marginal),0.036079266857579784
43,Train,BICauseTreeRandomSplit(Marginal),0.054582920202359664
44,Test,BICauseTree(Marginal),0.04168856983530761
44,Test,BICauseTreeRandomSplit(Marginal),0.05385966169300932
44,Train,BICauseTree(Marginal),0.03210988440791071
44,Train,BICauseTreeRandomSplit(Marginal),0.04832296437184305
45,Test,BICauseTree(Marginal),0.038939801173387995
45,Test,BICauseTreeRandomSplit(Marginal),0.043341231242282674
45,Train,BICauseTree(Marginal),0.02912821260894155
45,Train,BICauseTreeRandomSplit(Marginal),0.038177372532707976
46,Test,BICauseTree(Marginal),0.032343037773912814
46,Test,BICauseTreeRandomSplit(Marginal),0.04671989042577504
46,Train,BICauseTree(Marginal),0.038476888621774896
46,Train,BICauseTreeRandomSplit(Marginal),0.05749813709235041
47,Test,BICauseTree(Marginal),0.035294637290851305
47,Test,BICauseTreeRandomSplit(Marginal),0.05001787520558809
47,Train,BICauseTree(Marginal),0.035576504081871796
47,Train,BICauseTreeRandomSplit(Marginal),0.05262029280721259
48,Test,BICauseTree(Marginal),0.02981912708184839
48,Test,BICauseTreeRandomSplit(Marginal),0.045162005253101795
48,Train,BICauseTree(Marginal),0.037641834724227496
48,Train,BICauseTreeRandomSplit(Marginal),0.05974840178019983
49,Test,BICauseTree(Marginal),0.0432254353431448
49,Test,BICauseTreeRandomSplit(Marginal),0.05636048161101753
49,Train,BICauseTree(Marginal),0.03460005382303197
49,Train,BICauseTreeRandomSplit(Marginal),0.046455633932906415
